id,name,custom,unitType,abbreviation,multiplierToSI,parentSI,constantToSI,description
microEinsteinsPerSquareMeterPerSecond,microEinsteinsPerSquareMeterPerSecond,t,illuminance,µE/m^2/s,1,,,micro Einsteins (1E-06 moles of photons) per square meter per second (radiant flux density)
microgram,microgram,f,mass,µg,0.000000001,kilogram,,0.000000001 kg
microgramsPerGram,microgramsPerGram,f,massPerMass,,0.000001,gramsPerGram,,micrograms per gram
microgramsPerLiter,microgramsPerLiter,f,massDensity,µg/l,0.000001,kilogramsPerCubicMeter,,micrograms / liter
microgramsPerMilligram,microgramsPerMilligram,t,massPerMass,ug/mg,0.001,gramsPerGram,,micrograms per milligram
microgramsPerMilliliter,microgramsPerMilliliter,t,massDensity,µg/ml,0.000001,gramsPerMilliliter,,micrograms per milliliter
microliter,microliter,f,volume,µl,0.000000001,cubicMeter,,1/1000000 of a liter
micrometer,micrometer,f,,µm,0.000001,meter,,.000001 meters
microMolesPerKilogram,microMolesPerKilogram,t,amountOfSubstanceConcentration,µmol/kg,1,,,µmol/kg = µmoles per kilogram of substance
micron,micron,f,,µ,0.000001,meter,,.000001 meters
microsecond,microsecond,f,,µsec,0.000001,second,,1/100000 of a second
mile,mile,f,,mile,1609.344,meter,,5280 ft or 1609.344 meters
milesPerHour,milesPerHour,f,speed,mph,0.44704,metersPerSecond,,miles per hour
milesPerMinute,milesPerMinute,f,speed,mpm,26.8224,metersPerSecond,,miles per minute
milesPerSecond,milesPerSecond,f,speed,mps,1609.344,metersPerSecond,,miles per second
millibar,millibar,f,pressure,mbar,100,pascal,,millibar
milligram,milligram,f,mass,mg,0.000001,kilogram,,0.000001 kg
milligramsPerCubicMeter,milligramsPerCubicMeter,f,massDensity,mg/m³,0.000001,kilogramsPerCubicMeter,,milligrams Per Cubic Meter
milligramsPerLiter,milligramsPerLiter,f,massDensity,mg/l,0.001,kilogramsPerCubicMeter,,milligrams / liter
literPerSquareMeter,literPerSquareMeter,f,volumetricArea,l/m²,1,,,liters per square meter
milliGramsPerMilliLiter,milliGramsPerMilliLiter,f,massDensity,kg/m³,1,kilogramsPerCubicMeter,,milligrams per milliliter
milligramsPerSquareMeter,milligramsPerSquareMeter,f,arealMassDensity,mg/m²,0.000001,kilogramsPerSquareMeter,,milligrams Per Square Meter
millihertz,millihertz,f,frequency,mHz,0.000001,hertz,,millihertz
milliliter,milliliter,f,volume,ml,0.000001,cubicMeter,,1/1000 of a liter
milliliterPerLiter,milliliterPerLiter,t,volumePerVolume,ml/L,1,,,milliliters of solution per total volume
millimeter,millimeter,f,,mm,0.001,meter,,.001 meters
millimetersPerSecond,millimetersPerSecond,f,speed,mm/s,0.001,metersPerSecond,,millimeters per second
millimolesPerGram,millimolesPerGram,f,amountOfSubstanceWeight,,1,molesPerKilogram,,millimoles per gram
millimolesPerSquareMeterPerHour,millimolesPerSquareMeterPerHour,t,amountOfSubstanceWeightFlux,mmol/m^2/hr,1,,,millimoles per square meter per hour (areal flux or diffusion of a substance)
millisecond,millisecond,f,,msec,0.001,second,,1/1000 of a second
millivolt,millivolt,f,potentialDifference,mV,0.001,volt,,millivolt
milliwatt,milliwatt,f,power,mW,0.001,watt,,milliwatt
minute,minute,f,,min,60,second,,60 seconds
molality,molality,f,amountOfSubstanceWeight,m,1,,,molality = moles/kg
molarity,molarity,f,amountOfSubstanceConcentration,M,1000,molesPerCubicMeter,,molarity = moles/liter
mole,mole,f,amount,mol,1,,,SI unit of substance amount
molePerCubicMeter,molePerCubicMeter,f,amountOfSubstanceConcentration,,1,,,mole per cubic meter
molesPerGram,molesPerGram,f,amountOfSubstanceWeight,,1000,molesPerKilogram,,moles per gram
molesPerKilogram,molesPerKilogram,f,amountOfSubstanceWeight,,1,,,moles per kilogram
molesPerKilogramPerSecond,molesPerKilogramPerSecond,f,amountOfSubstanceWeightFlux,,1,,,moles per kilogram per second
nanogram,nanogram,f,mass,ng,0.000000000001,kilogram,,0.000000000001 kg
nanometer,nanometer,f,,nm,0.000000001,meter,,.000000001 meters
nanomolesPerGramPerSecond,nanomolesPerGramPerSecond,f,amountOfSubstanceWeightFlux,,0.000001,molesPerKilogramPerSecond,,nanomoles Per Gram Per Second
nanosecond,nanosecond,f,,nsec,0.000000001,second,,1/1000000 of a second
nauticalMile,nauticalMile,f,,,1852,meter,,nautical mile
newton,newton,f,force,N,1,,,newton
nominalDay,nominalDay,f,time,,86400,second,,"one day excluding leap seconds, 86400 seconds"
nominalHour,nominalHour,f,time,,3600,second,,"one hour excluding leap seconds, 3600 seconds"
nominalLeapYear,nominalLeapYear,f,time,,31622400,second,,"one 366 day year excluding leap seconds, 31622400 seconds"
nominalMinute,nominalMinute,f,time,,60,second,,"one minute excluding leap seconds, 60 seconds"
nominalWeek,nominalWeek,f,time,,604800,second,,"one day excluding leap seconds, 604800 seconds"
nominalYear,nominalYear,f,time,,31536000,second,,"one year excluding leap seconds and leap days, 31536000 seconds"
numberPerGram,numberPerGram,f,massSpecificCount,,1,,,number of entities per gram
numberPerKilometerSquared,numberPerKilometerSquared,f,arealDensity,,0.000001,numberPerMeterSquared,,number per kilometer squared
numberPerMeterCubed,numberPerMeterCubed,f,volumetricDensity,,1,,,number per meter cubed
numberPerMeterSquared,numberPerMeterSquared,f,arealDensity,,1,,,number per meter squared
numberPerMilliliter,numberPerMilliliter,t,volumetricDensity,number/ml,1,,,number of particles or organisms per milliliter of solution
numberPerSquareCentimeterPerHour,numberPerSquareCentimeterPerHour,t,frequency,number/cm^2/hr,1,,,rate of change of areal density of a substance (e.g. growth or expulsion rate)
ohm,ohm,f,resistance,O,1,,,ohm
ohmMeter,ohmMeter,f,resistivity,Om,1,,,ohm meters
partsPerMillion,partsPerMillion,t,dimensionless,ppm,1,,,ratio of two quantities as parts per million (1:1000000)
partsPerThousand,partsPerThousand,t,dimensionless,ppt,1,,,ratio of two quantities as parts per thousand (1:1000)
pascal,pascal,f,pressure,Pa,1,,,pascal
percent,percent,t,dimensionless,%,1,,,ratio of two quantities as percent composition (1:100)
picoCuriesPerGram,picoCuriesPerGram,t,radionucleotideActivity,pCi/g,,,,"pCi/g = 1E-12 Curies per gram of sample, equal to 2.22 radioactive disintegrations per minute per gram of sample"
picoMolesPerLiter,picoMolesPerLiter,t,amountOfSubstanceConcentration,pM,0.000000000001,molarity,,picomoles per liter of solution
picoMolesPerLiterPerHour,picoMolesPerLiterPerHour,t,amountOfSubstanceWeightFlux,pmol/L/hr,1,,,picomoles per liter of solution per hour (concentration flux)
pint,pint,f,,pint,0.473176,liter,,US liquid pint
pound,pound,f,,lbs,0.4536,kilogram,,1 pound in the Avoirdupois (commerce) scale
poundsPerSquareInch,poundsPerSquareInch,f,arealMassDensity,lbs/in²,17.85,kilogramsPerSquareMeter,,lbs/square inch
quart,quart,f,,qt,0.946353,liter,,US liquid quart
radian,radian,f,angle,rad,1,,,2 pi radians comprise a unit circle.
second,second,f,time,sec,1,,,SI unit of time
serialDateNumberYear0000,serialDateNumberYear0000,t,dimensionless,,1,,,fractional days representing a serial date number based on 1 = 1-Jan-0000
siemen,siemen,f,conductance,S,1,,,siemen
siemensPerMeter,siemensPerMeter,t,conductance,S/m,1,,,siemens per meter (electrolytic conductivity of a solution)
sievert,sievert,f,doseEquivalent,Sv,1,,,sievert
squareCentimeters,squareCentimeters,f,area,,0.0001,squareMeter,,square centimeters
squareFoot,squareFoot,f,area,ft²,0.092903,squareMeter,,12 inches squared
squareKilometers,squareKilometers,f,area,,1000000,squareMeter,,square kilometers
squareMeter,squareMeter,f,area,m²,1,,,square meters
squareMeterPerKilogram,squareMeterPerKilogram,f,specificArea,m²/kg,1,,,square meters per kilogram
squareMile,squareMile,f,area,mile²,2589998.49806,squareMeter,,1 mile squared
squareMillimeters,squareMillimeters,f,area,,0.000001,squareMeter,,square millimeters
squareYard,squareYard,f,area,yd²,0.836131,squareMeter,,36 inches squared
tesla,tesla,f,magneticFluxDensity,T,1,,,tesla
ton,ton,f,,ton,907.1999,kilogram,,standard US (short) ton = 2000 lbs
tonne,tonne,f,mass,T,1000,kilogram,,metric ton or tonne
tonnePerHectare,tonnePerHectare,f,arealMassDensity,,0.1,kilogramsPerSquareMeter,,metric ton or tonne per hectare
tonnesPerYear,tonnesPerYear,f,massFlux,,0.0000317,kilogramsPerSecond,,tonnes Per Year
volt,volt,f,potentialDifference,V,1,,,volt
